regulator	replicate	fastq_1	fastq_2
ARO80xstandard	C	fastq/SRX20967273_SRR25220839_1.fastq.gz	fastq/SRX20967273_SRR25220839_2.fastq.gz
CAD1xstandard	A	fastq/SRX20967292_SRR25220820_1.fastq.gz	fastq/SRX20967292_SRR25220820_2.fastq.gz
CAD1xstandard	B	fastq/SRX20967293_SRR25220819_1.fastq.gz	fastq/SRX20967293_SRR25220819_2.fastq.gz
CAD1xstandard	C	fastq/SRX20967294_SRR25220818_1.fastq.gz	fastq/SRX20967294_SRR25220818_2.fastq.gz
YHP1xstandard	A	fastq/SRX20967426_SRR25220686_1.fastq.gz	fastq/SRX20967426_SRR25220686_2.fastq.gz
YHP1xstandard	B	fastq/SRX20967427_SRR25220685_1.fastq.gz	fastq/SRX20967427_SRR25220685_2.fastq.gz
YHP1xstandard	C	fastq/SRX20967428_SRR25220684_1.fastq.gz	fastq/SRX20967428_SRR25220684_2.fastq.gz
STP1xstandard	A	fastq/SRX20967073_SRR25220423_1.fastq.gz	fastq/SRX20967073_SRR25220423_2.fastq.gz
STP1xstandard	B	fastq/SRX20967397_SRR25220715_1.fastq.gz	fastq/SRX20967397_SRR25220715_2.fastq.gz
STP1xstandard	C	fastq/SRX20967398_SRR25220714_1.fastq.gz	fastq/SRX20967398_SRR25220714_2.fastq.gz
DIG2xstandard	A	fastq/SRX20967310_SRR25220802_1.fastq.gz	fastq/SRX20967310_SRR25220802_2.fastq.gz
DIG2xstandard	B	fastq/SRX20967311_SRR25220801_1.fastq.gz	fastq/SRX20967311_SRR25220801_2.fastq.gz
DIG2xstandard	C	fastq/SRX20967312_SRR25220800_1.fastq.gz	fastq/SRX20967312_SRR25220800_2.fastq.gz
URC2xstandard	A	fastq/SRX20967094_SRR25220402_1.fastq.gz	fastq/SRX20967094_SRR25220402_2.fastq.gz
URC2xstandard	B	fastq/SRX20967095_SRR25220401_1.fastq.gz	fastq/SRX20967095_SRR25220401_2.fastq.gz
URC2xstandard	C	fastq/SRX20967096_SRR25220400_1.fastq.gz	fastq/SRX20967096_SRR25220400_2.fastq.gz
RBA50xstandard	A	fastq/SRX20967186_SRR25220310_1.fastq.gz	fastq/SRX20967186_SRR25220310_2.fastq.gz
RBA50xstandard	B	fastq/SRX20967187_SRR25220309_1.fastq.gz	fastq/SRX20967187_SRR25220309_2.fastq.gz
RBA50xstandard	C	fastq/SRX20967188_SRR25220308_1.fastq.gz	fastq/SRX20967188_SRR25220308_2.fastq.gz
GCN4xSM	A	fastq/SRX20967117_SRR25220379_1.fastq.gz	fastq/SRX20967117_SRR25220379_2.fastq.gz
